name,address,phone,fax,email,website,keywords,latitude,longitude,pharmacy_code,notes
PHARMASAVE # 253,"105 - 437 Glenmore Rd Kelowna, BC V1V 1Y5 CANADA",(250) 861-4443,(250) 861-4943,,,,49.914611,-119.4460095,P661,
PHARMASAVE # 255 - CRANBROOK,"1005 Baker St. Cranbrook, BC V1C 1A6 CANADA",(250) 426-3368,(250) 426-2365,,,,49.511936,-115.767093,P662,
PHARMASAVE # 257,"P.O. Box 489 5663 Cowrie St Sechelt, BC V0N 3A0 CANADA",(604) 885-9614,(604) 885-7257,,,,49.4720934,-123.7560348,P663,
PHARMASAVE # 260,"1816 Bowen Rd Nanaimo, BC V9S 5W4 CANADA",(250) 740-3880,(250) 740-3885,,,,49.1838138,-123.981934,P664,
PHARMASAVE # 264,"PO Box 620 Unit 18 - 117 Hwy 16 E Burns Lake, BC V0J 1E0 CANADA",(250) 692-7077,(250) 692-7066,,,,54.2239508,-125.7539738,P665,
PHARMASAVE # 265,"7 - 2225 Guthrie Rd Comox, BC V9M 4G1 CANADA",(250) 339-9879,(250) 339-2343,,,,49.6882321,-124.9447705,P666,
PHARMASAVE # 267,"Unit 5 - 1273 Island Hwy S Nanaimo, BC V9R 7A4 CANADA",(250) 755-1830,(250) 755-1832,,,,49.1303949,-123.9225112,P667,
PHARMASAVE # 275,"130 - 1005 Columbia St New Westminster, BC V3M 6H5 CANADA",(604) 525-5607,(604) 525-5608,,,,49.2064872,-122.9015165,P668,
PHARMASAVE # 276,"#1012 - 505 Doyle Ave. Kelowna, BC V1Y 0C5 CANADA",(250) 860-0828,(250) 860-0092,,,,49.8886905,-119.4926913,P669,
PHARMASAVE # 278,"4367 Hastings St Burnaby, BC V5C 2J7 CANADA",(604) 298-5910,(604) 298-5930,,,,49.281206,-123.0061023,P670,
PHARMASAVE # 280,"1280 Cedar Ave Trail, BC V1R 4C1 CANADA",(250) 368-3363,(250) 368-5012,,,,49.0958384,-117.7095966,P671,
PHARMASAVE # 282,"1118 Canyon St PO Box 278 Creston, BC V0B 1G0 CANADA",(250) 428-9080,(250) 428-9082,,,,49.0957068,-116.5116777,P673,
PHARMASAVE # 284,"2401F Millstream Rd Victoria, BC V9B 3R5 CANADA",(250) 478-0123,(250) 478-0129,,,,48.4607054,-123.4959532,P674,
PHARMASAVE # 285,"101 - 1497 Admirals Rd Victoria, BC V9A 2P8 CANADA",(250) 388-5051,(250) 388-5059,,,,48.4478834,-123.4282586,P675,
PHARMASAVE # 287 SULLIVAN SQUARE,"106 - 15325 56 Ave Surrey, BC V3S 0X9 CANADA",(604) 303-6345,(604) 372-2772,,,,49.1052716,-122.7982486,P676,
PHARMASAVE # 291,"9 - 2484 Main St Westbank, BC V4T 2G2 CANADA",(250) 707-0745,(250) 707-0738,,,,49.829841,-119.6306212,P677,
PHARMASAVE # 294 ORCHARDS WALK,"101 - 3200 Valleyview Drive Kamloops, BC V2C 4S2 CANADA",(250) 828-8000,(250) 828-8181,,,,50.6707592,-120.2254311,P678,
PHARMASAVE # 296,"Box 850 #8 - 6716 West Coast Rd Sooke, BC V9Z 1H8 CANADA",(250) 642-2226,(250) 642-7742,,,,48.3772804,-123.7244716,P679,
PHARMASAVE # 298,"1746 Sandner Frontage Rd RR 3 Christina Lake, BC V0H 1E0 CANADA",(250) 447-2658,(250) 447-2659,,,,49.047906,-118.205634,P680,
PHARMASAVE #1009,"6 - 33324 South Fraser Way Abbotsford, BC V2S 2B4 CANADA",(604) 746-7117,(604) 746-7114,,,,49.0493036,-122.3008097,P681,
PHARMASAVE #1012,"101 - 1590 Bellevue Ave West Vancouver, BC V7V 1A7 CANADA",(604) 926-9047,(604) 926-9651,,,,49.3274842,-123.1585657,P682,
PHARMASAVE #1021,"102 - 330 Highway 33 Kelowna, BC V1X 1X9 CANADA",250-491-1999,250-491-4565,,,,49.8892246,-119.3917984,P683,
PHARMASAVE #1025,"1715 Ellis St Kelowna, BC V1Y 8M9 CANADA",(250) 712-2484,(250) 712-9266,,,,49.883329,-119.4932492,P684,
PHARMASAVE #1028 PENTICTON REGIONAL HOSPITAL,"550 Carmi Avenue Penticton, BC V2A 3G6 CANADA",(236) 422-2771,(855) 952-2459,,,,49.4816173,-119.5774849,P685,
PHARMASAVE #1029,"104 - 34143 Marshall Rd Abbotsford, BC V2S 1L8 CANADA",(604) 744-1705,(604) 744-1706,,,,49.0390664,-122.2787731,P686,
PHARMASAVE #1101,"400 - 1055 Dunsmuir St PO Box 49326 - Van Stn Bentall Centre Vancouver, BC V7X 1L4 CANADA",(604) 682-7785,(604) 682-7744,,,,49.2863261,-123.1197682,P687,
PHARMASAVE #1106,"#101 - 2276 S. Island Hwy. Campbell River, BC V9W 1C3 CANADA",(250) 923-7311,(250) 923-3132,,,,49.9700271,-125.2143866,P688,
PHARMASAVE #1109,"107 Centennial Square PO Box 717 Sparwood, BC V0B 2G0 CANADA",(250) 425-2015,(250) 425-0294,,,,49.7326757,-114.8867986,P689,
PHARMASAVE #1110,"103 - 4741 Lakelse Ave Terrace, BC V8G 1R5 CANADA",(250) 635-2206,(250) 635-2207,,,,54.5163579,-128.596308,P690,
PHARMASAVE & FOOD #142,"1641 Hillside Ave. Victoria, BC V8T 5G1 CANADA",(250) 595-8106,(250) 595-7308,,,,48.4449847,-123.3339244,P691,
PHARMASAVE DRUGS #154,"PO Box 2160 Quilchena Square, 1800 Garcia St. Merritt, BC V1K 1B8 CANADA",(250) 378-6066,(250) 378-9296,,,,50.1089332,-120.7873677,P692,
PHARMASAVE EDGEMONT #107,"3233 Connaught Cres North Vancouver, BC V7R 2V7 CANADA",(604) 988-6396,(604) 988-3403,,,,49.3385649,-123.1027101,P693,
PHARMASAVE GANGES #120,"104 Lower Ganges Road Salt Spring Island, BC V8K 2S7 CANADA",(250) 537-5534,(250) 537-8831,,,,48.8524587,-123.4998661,P694,
PHARMASAVE GATEWAY CROSSING,"376 175A St Surrey, BC V3S 6S7 CANADA",(604) 542-4646,(604) 542-3661,,,,49.0086574,-122.736329,P695,
PHARMASAVE GLADWIN,"100 - 3010 Gladwin Rd Abbotsford, BC V2T 0H5 CANADA",604-853-8577,604-853-8578,,,,49.0562512,-122.3157414,P696,
PHARMASAVE HEALTH CENTRE # 001,"#100 - 2255 Elgin Ave. Port Coquitlam, BC V3C 2B4 CANADA",(604) 942-7117,(604) 942-1651,,,,49.2631329,-122.7783872,P697,
PHARMASAVE HEALTH CENTRE # 002,"#106 - 2800 1st Ave E Vancouver, BC V5M 4N8 CANADA",(604) 215-8284,(604) 215-8443,,,,49.2691637,-123.0463411,P698,
PHARMASAVE HEALTH CENTRE # 003,"7 - 8948 202 St Langley, BC V1M 4A7 CANADA",(604) 513-1414,(604) 513-1420,,,,49.1655203,-122.6611899,P699,
PHARMASAVE HEALTH CENTRE # 005,"105 - 19070 Lougheed Hwy Pitt Meadows, BC V3Y 2M6 CANADA",(604) 465-8807,(604) 465-8809,,,,49.231673,-122.6928975,P700,
PHARMASAVE HEALTH CENTRE # 007,"P.O. Box 940 Stn Fort Langley #100 - 23148 96 Ave Langley, BC V1M 2S3 CANADA",(604) 882-0611,(604) 882-0610,,,,49.16883,-122.5817222,P701,
PHARMASAVE HEALTH CENTRE # 010,"#101 - 1160 Burrard St. Vancouver, BC V6Z 2E8 CANADA",(604) 669-7700,(604) 669-7282,,,,49.2792655,-123.1283776,P702,
PHARMASAVE HEALTH CENTRE # 011,"P.O. Box 989 8301 78 Ave Osoyoos, BC V0H 1V0 CANADA",(250) 495-7424,(250) 495-7121,,,,49.0336796,-119.4639641,P703,
PHARMASAVE HEALTH CENTRE # 012 - LANGLEY CITY,"101 - 20644 Fraser Hwy Langley, BC V3A 4G5 CANADA",(604) 533-7322,(604) 533-7331,,,,49.1033392,-122.6509174,P704,
PHARMASAVE HEALTH CENTRE # 014,"250 - 1311 2nd St N Cranbrook, BC V1C 3L1 CANADA",(250) 417-0270,(250) 417-0274,,,,49.5135021,-115.7629984,P705,
PHARMASAVE HEALTH CENTRE # 015,"5778 - 176A St Surrey, BC V3S 4H3 CANADA",(604) 576-2888,(604) 576-2882,,,,49.1071262,-122.7334974,P706,
PHARMASAVE HEALTH CENTRE # 016,"277 Evergreen Road Campbell River, BC V9W 5Y4 CANADA",(250) 287-3222,(250) 287-3284,,,,50.0072365,-125.2412876,P707,
PHARMASAVE HEALTH CENTRE # 017,"1025 15th Ave W Vancouver, BC V6H 1R7 CANADA",(604) 558-4006,(604) 558-4007,,,,49.258062,-123.1275012,P708,
PHARMASAVE HEALTH CENTRE # 020,"#103 - 625 - 5th Ave New Westminster, BC V3M 1X4 CANADA",(604) 526-2233,(604) 526-2205,,,,49.211277,-122.9199638,P709,
PHARMASAVE HEALTH CENTRE # 024,"P.O. Box 10 1 - 281 East Island Hwy Parksville, BC V9P 2G3 CANADA",(250) 951-0227,(250) 951-0343,,,,49.320138,-124.3056437,P710,
PHARMASAVE HEALTH CENTRE # 027,"Unit J3 - 925 Main Street West Vancouver, BC V7T 2Z3 CANADA",(604) 925-3304,(604) 925-3312,,,,49.3258806,-123.1435566,P711,
PHARMASAVE HEALTH CENTRE # 038,"Richlea Shopping Centre 116 - 10151 No. 3 Rd Richmond, BC V7A 4R6 CANADA",(604) 241-2898,(604) 241-2810,,,,49.1392598,-123.1375235,P712,
PHARMASAVE HEALTH CENTRE # 049,"131 First St PO Box 1080 Tofino, BC V0R 2Z0 CANADA",(250) 725-4949,(250) 725-1249,,,,49.1294739,-125.7915497,P713,
PHARMASAVE HEALTH CENTRE # 050,"15168 Fraser Hwy Surrey, BC V3R 3P1 CANADA",(604) 580-1456,(604) 580-1455,,,,49.1660468,-122.802393,P714,
PHARMASAVE HEALTH CENTRE # 051,"2525 St. John's St Port Moody, BC V3H 2B3 CANADA",(604) 936-2273,(604) 936-2278,,,,49.2765338,-122.8548554,P715,
PHARMASAVE HEALTH CENTRE # 056,"300 - 32900 Marshall Rd Abbotsford, BC V2S 0C2 CANADA",(604) 870-5600,(604) 870-2955,,,,49.0372181,-122.3128441,P716,
PHARMASAVE HEALTH CENTRE # 058,"102 - 2048 41st Ave W Vancouver, BC V6M 1Y8 CANADA",(604) 261-3335,(604) 261-3336,,,,49.2342723,-123.1535011,P717,
PHARMASAVE HEALTH CENTRE # 059,"100 - 180 Wilson St Victoria, BC V9A 7N6 CANADA",(250) 380-0049,(250) 380-0118,,,,48.4330733,-123.3816781,P718,
PHARMASAVE HEALTH CENTRE # 063,"2580 Granville St Vancouver, BC V6H 3G8 CANADA",(604) 558-3003,(604) 558-3004,,,,49.2628816,-123.1384484,P719,
PHARMASAVE HEALTH CENTRE # 064,"#114 - 300 Riverside Dr Penticton, BC V2A 9C9 CANADA",(250) 493-5533,(250) 493-5587,,,,49.4957759,-119.615505,P720,
PHARMASAVE HEALTH CENTRE # 077,"1671 Broadway E Vancouver, BC V5N 1V9 CANADA",(604) 251-1293,(604) 251-1248,,,,49.2624822,-123.0705216,P721,
PHARMASAVE HEALTH CENTRE # 080,"5791 Oak St Vancouver, BC V6M 2V7 CANADA",(604) 269-3617,(604) 269-3761,,,,49.2331505,-123.1284221,P722,
PHARMASAVE HEALTH CENTRE # 086,"#520 - 3033 Immel St Abbotsford, BC V2S 6S2 CANADA",(604) 853-6696,(604) 853-9917,,,,49.0569594,-122.2732303,P723,
PHARMASAVE HEALTH CENTRE # 091 NEWTON,"107 - 14199 62 Ave Surrey, BC V3X 0B1 CANADA",(604) 568-4750,(604) 503-5181,,,,49.1156407,-122.8292518,P724,
PHARMASAVE HEALTH CENTRE # 092,"10 - 1601 Burnwood Dr Burnaby, BC V5A 4H1 CANADA",(604) 428-2648,(604) 428-2649,,,,49.269628,-122.9462791,P725,
PHARMASAVE HEALTH CENTRE # 094,"1808 Kingsway Vancouver, BC V5N 2S7 CANADA",(778) 379-4470,(778) 379-4472,,,,49.2460272,-123.0676848,P726,
PHARMASAVE HEALTH CENTRE # 098,"Unit 3 - 22323 48 Ave Langley, BC V3A 3N4 CANADA",(604) 510-5522,(604) 510-5523,,,,49.0900049,-122.6062149,P727,
PHARMASAVE HEALTH CENTRE # 099,"#10 - 2448 160 St Surrey, BC V3Z 0C8 CANADA",(604) 531-2690,(604) 531-2691,,,,49.0464831,-122.7789435,P728,
PHARMASAVE HEALTH CENTRE #1000,"101 - 1688 152 St Surrey, BC V4A 4N2 CANADA",(604) 538-6334,(604) 538-6389,,,,49.0324594,-122.8008795,P730,
PHARMASAVE HEALTH CENTRE #1001,"Unit 103B - 19161 Fraser Hwy Surrey, BC V3S 7H2 CANADA",(604) 372-1234,(604) 372-1254,,,,49.1196121,-122.6918434,P731,
PROMONTORY PHARMACY,"105 - 5615 Teskey Way Chilliwack, BC V2R 0K5 CANADA",(604) 705-3800,(604) 705-3801,,,,49.1042812,-121.9343216,P764,
PHARMASAVE HEALTH CENTRE #1002,"2207-F Glenmore Rd Campbell River, BC V9H 1E1 CANADA",(778) 420-4311,(778) 420-1311,,,,49.8697072,-125.1297907,P732,
PHARMASAVE HEALTH CENTRE #1005,"2 - 19126 Ford Rd Pitt Meadows, BC V3Y 2P1 CANADA",(604) 460-4808,(604) 460-4807,,,,49.2223005,-122.69207,P733,
PHARMASAVE HEALTH CENTRE #1008 - METROTOWN,"4390 Beresford St Burnaby, BC V5H 0E7 CANADA",(604) 563-4390,(604) 563-4391,,,,49.2260929,-123.0057749,P735,
PHARMASAVE HEALTH CENTRE #1010,"304 - 1750 Pier Mac Way Kelowna, BC V1V 3E7 CANADA",(778) 484-8960,(778) 484-8964,,,,49.952439,-119.3878903,P736,
PHARMASAVE HEALTH CENTRE #1011,"2359 Clearbrook Rd Abbotsford, BC V2T 2X6 CANADA",(778) 880-7011,(778) 880-7012,,,,49.044939,-122.3372962,P737,
PHARMASAVE JAMES BAY #130,"113-230 Menzies St Victoria, BC V8V 2G7 CANADA",(250) 383-7196,(250) 383-7186,,,,48.4158642,-123.3740029,P739,
PHARMASAVE LIONS GATE,"152 E 13th Street North Vancouver, BC V7L 4W8 CANADA",(778) 340-1018,1-833-952-0979,,,,49.3200876,-123.0700188,P740,
PHARMASAVE NO. 008,"#110 - 13798 - 94A Ave. Surrey, BC V3V 1N1 CANADA",(604) 585-8555,(604) 583-5402,,,,49.1740913,-122.8408652,P741,
PHARMASAVE OAK BAY #152,"2200 Oak Bay Ave. Victoria, BC V8R 1G3 CANADA",(250) 598-3380,(250) 598-9820,,,,48.4267411,-123.3157534,P742,
PHARMASAVE OLD MILL PLAZA #178,"Old Mill Plaza Box 910 Lillooet, BC V0K 1V0 CANADA",(250) 256-4262,(250) 256-0362,,,,50.7030046,-121.9259489,P743,
PHARMASAVE SCOTT TOWN #167,"9558 - 120th St Surrey, BC V3V 4C1 CANADA",(604) 581-4671,(604) 581-4673,,,,49.1768416,-122.8886584,P744,
PHARMASAVE STEVESTON VILLAGE,"105 - 12420 No. 1 Rd Richmond, BC V7E 6N2 CANADA",(604) 232-0159,(604) 232-0526,,,,49.1247683,-123.1809733,P745,
PHARMASAVE WILLOWBROOK #1017,"20055 Willowbrook Dr Langley, BC V2Y 2T5 CANADA",(604) 427-0090,(604) 427-0695,,,,49.1163186,-122.6666859,P746,
PHARMATRUST PHARMACY #2,"178 Keefer Street Vancouver, BC V6A1X4 CANADA",(604) 694-0988,(604) 694-0933,,,,49.2793952,-123.1008898,P747,
PHARMAWEST PHARMACY,"#101 - 20560 56 Ave Langley, BC V3A 3Y8 CANADA",(604) 530-0745,(604) 530-0735,,,,49.1050169,-122.6504654,P748,
PHARMAWISE PHARMACY,"101 - 8488 160 St. Surrey, BC V4N 0V7 CANADA",778-565-0600,778-565-0700,,,,49.1563448,-122.7785791,P749,
PHOENIX PHARMACY,"#103 - 2155 - 10th Ave. Prince George, BC V2M 5J6 CANADA",(250) 562-3383,(250) 562-5113,,,,53.9150695,-122.7658004,P750,
PIER HEALTH RESOURCE CENTRE,"223 Main St Vancouver, BC V6A 2S7 CANADA",(604) 891-1480,(604) 891-1490,,,,49.2827643,-123.1000014,P751,
PINETREE PHARMACY,"103 - 3007 Glen Dr Coquitlam, BC V3B 0L8 CANADA",(604) 474-4977,(604) 474-4978,,,,49.2830231,-122.7940489,P752,
PLATINUM CARE PHARMACY,"3 - 3238 King George Blvd Surrey, BC V4P 1A5 CANADA",(604) 385-0188,(604) 385-0189,,,,49.060868,-122.811374,P753,
PLAZA PHARMACY,"#174 - 2655 Clearbrook Rd Abbotsford, BC V2T 2Y6 CANADA",(604) 504-4460,(604) 504-4465,,,,49.0505058,-122.3385208,P754,
POINT GREY PHARMACY,"4520 West 10th Ave. Vancouver, BC V6R 2J1 CANADA",(604) 224-1377,(604) 225-0019,,,,49.2636051,-123.2098771,P756,
POWELL RIVER PHARMACY,"4280 Joyce Ave Powell River, BC V8A 3A2 CANADA",(604) 489-9272,(604) 489-9273,,,,49.8320373,-124.5203382,P757,
PRICESMART FOODS PHARMACY #2274 - RICHMOND,"8200 Ackroyd Road Richmond, BC V6X 1B5 CANADA",(604) 278-8408,(604) 278-7227,,,,49.1714673,-123.1331415,P759,
PRICESMART FOODS PHARMACY #2281 - STATION SQUARE,"110 - 4650 Kingsway Burnaby, BC V5H 4L9 CANADA",(604) 433-3760,(604) 433-7109,,,,49.2286949,-123.0014658,P760,
PRIMECARE PHARMACY,"#101 - 7093 King George Blvd Surrey, BC V3W 5A2 CANADA",(778) 654-0013,(778) 654-0039,,,,49.1306646,-122.8461118,P761,
PRINCETON PHARMACY,"Box 1828 #3 - 136 Tapton Ave Princeton, BC V0X 1W0 CANADA",(250) 295-7670,(250) 295-7650,,,,49.4580137,-120.5069512,P762,
PRO-HEALTH PHARMACY,"8999 School St Chilliwack, BC V2P 4L5 CANADA",(604) 845-8084,(604) 392-3348,,,,49.1656719,-121.9606429,P763,
PURE CURE PHARMACY,"#100 - 8820 120th Street Surrey, BC V3V 0C9 CANADA",236-598-8896,236-598-8895,,,,49.1635377,-122.8899794,P766,
PURE INTEGRATIVE PHARMACY # 1,"111 - 15388 24 Ave Surrey, BC V4A 2J2 CANADA",(604) 542-7780,(604) 542-3263,,,,49.0454612,-122.7959873,P767,
PURE INTEGRATIVE PHARMACY # 4,"3533 4th Ave W Vancouver, BC V6R 1N9 CANADA",(604) 733-7211,(604) 733-7215,,,,49.2687541,-123.1823525,P768,
PURE INTEGRATIVE PHARMACY # 5,"2685 Broadway W Vancouver, BC V6K 2G2 CANADA",(604) 568-8844,(604) 568-8944,,,,49.2642703,-123.1658457,P769,
PURE INTEGRATIVE PHARMACY # 9,"238 Robson St Vancouver, BC V6B 6A1 CANADA",(604) 681-8190,(604) 681-8195,,,,49.2782749,-123.1155225,P770,
PURE INTEGRATIVE PHARMACY #10,"3228 Dunbar Street Vancouver, BC V6S2B7 CANADA",(604) 732-3010,(604) 732-3011,,,,49.2576665,-123.1846888,P771,
PURE INTEGRATIVE PHARMACY #18,"3750 Oak St Vancouver, BC V6H 2M3 CANADA",(604) 731-8535,(604) 731-8534,,,,49.2520293,-123.127285,P773,
PURE INTEGRATIVE PHARMACY #19,"103 - 3053 Edgemont Blvd North Vancouver, BC V7R 2N5 CANADA",(604) 770-3501,(604) 770-3503,,,,49.3369166,-123.1015831,P774,
PURE INTEGRATIVE PHARMACY #20,"105A - 7635 North Fraser Way Burnaby, BC V5J 0B8 CANADA",(604) 565-7873,(604) 428-3426,,,,49.190196,-122.9901712,P775,
PURE INTEGRATIVE PHARMACY #21,"#101 - 301 Columbia St E New Westminster, BC V3L 3W5 CANADA",(604) 553-7145,(604) 553-7146,,,,49.2225751,-122.8929446,P776,
PURE INTEGRATIVE PHARMACY #23,"210 - 2425 Hemlock St Vancouver, BC V6H 4E1 CANADA",(604) 559-9200,(604) 559-9201,,,,49.2641547,-123.1362837,P777,
PURE INTEGRATIVE PHARMACY #24,"4444 10th Ave W Vancouver, BC V6R 2H9 CANADA",(604) 563-4888,(604) 563-4810,,,,49.2636912,-123.2074485,P778,
PURE INTEGRATIVE PHARMACY #25,"#102 - 23242 Mavis Ave Fort Langley, BC V1M 2R4 CANADA",(604) 371-1828,(604) 371-2066,,,,49.1703656,-122.5784398,P779,
PURE INTEGRATIVE PHARMACY #26,"104 - 382 Lerwick Rd Courtenay, BC V9N 9E5 CANADA",(250) 871-7900,(250) 871-7901,,,,49.7137228,-124.9698092,P780,
PURE INTEGRATIVE PHARMACY #27,"1405 Bellevue Ave West Vancouver, BC V7T 1C3 CANADA",(604) 281-3784,(604) 281-3785,,,,49.3274828,-123.1548851,P781,
PURE INTEGRATIVE PHARMACY #28,"Unit 160 - 6111 River Rd Richmond, BC V7C 0A2 CANADA",(604) 244-2050,(604) 244-2059,,,,49.1747431,-123.1515448,P782,
PURE INTEGRATIVE PHARMACY #29,"102 - 88 Lonsdale Avenue North Vancouver, BC V7M 2E6 CANADA",(604) 770-3390,(604) 770-3391,,,,49.311573,-123.078527,P783,
QUADRA MAPLE PHARMACY,"Quadra Centre 108 - 3960 Quadra St Victoria, BC V8X 4A3 CANADA",(250) 881-8819,(250) 881-8803,,,,48.4682299,-123.3639342,P784,
QUADRA VILLAGE DRUG MART,"3 - 2631 Quadra St Victoria, BC V8T 4E3 CANADA",(250) 383-1188,(250) 383-4563,,,,48.435139,-123.358468,P785,
QUALICUM PHARMACY,"#2 - 219 West Fern Road Qualicum Beach, BC V9K 2M2 CANADA",(250) 752-9911,(250) 752-5772,,,,49.3461384,-124.4477955,P786,
QUEENS APOTHECARY,"2235 Kingsway Vancouver, BC V5N 2T6 CANADA",(778) 379-9933,(778) 379-9936,,,,49.2429212,-123.0599774,P787,
QUEENSBOROUGH COMMUNITY PHARMACY,"1028 Ewen Ave New Westminster, BC V3M 5E1 CANADA",(778) 397-1132,(778) 397-1129,,,,49.1853346,-122.9484155,P788,
RAGE'S PHARMACY,"166 - 1848 Main St Penticton, BC V2A 5H3 CANADA",(250) 493-7200,(250) 493-7201,,,,49.477857,-119.58223,P790,
RAINFOREST WELLNESS PHARMACY,"327 City Centre Kitimat, BC V8C 1T6 CANADA",(250) 632-2914,(250) 632-2750,,,,54.053616,-128.651798,P791,
REGENCY #6 MEDICINE CENTRE,"100 - 1144 Burrard St. Vancouver, BC V6Z 2A5 CANADA",(604) 688-4644,(604) 648-8028,,,,49.2794023,-123.1280773,P792,
REGENCY MEDICINE CENTRE,"#100 - 6091 Gilbert Road Richmond, BC V7C 5L9 CANADA",(604) 273-5544,(604) 273-5037,,,,49.1752599,-123.1451031,P793,
REID STREET PHARMACY LTD.,"359 Reid Street Quesnel, BC V2J 2M5 CANADA",(250) 985-0557,(250) 985-0535,,,,52.9783409,-122.4970359,P794,
REMEDY'SRX #201,"Units 1 & 2 1176 Franklin's Gull Rd Parksville, BC V9P 2M9 CANADA",(250) 954-3666,(250) 954-3633,,,,49.30407,-124.2638675,P796,
REMEDY'SRX #202,"134 - 10030 Resthaven Dr Sidney, BC V8L 3G4 CANADA",(250) 654-0210,(250) 654-0240,,,,48.6540467,-123.4028922,P797,
REMEDY'SRX #261,"790 East Hastings St. Vancouver, BC V6A 1R5 CANADA",(604) 254-4633,(604) 254-6453,,,,49.280938,-123.0874415,P798,
REMEDY'SRX #263,"102 - 5796 Glover Rd Langley, BC V3A 4H9 CANADA",(604) 534-8686,(604) 534-8383,,,,49.1079915,-122.6504228,P799,
REMEDY'SRX #298,"#102 - 22112 - 52nd Ave Langley, BC V2Y 2M6 CANADA",(604) 534-6600,(604) 534-6076,,,,49.096176,-122.611477,P800,
REMEDY'SRX #366,"1A - 20363 65 Ave Langley, BC V2Y 3E3 CANADA",(604) 427-4448,(604) 427-4451,,,,49.1210877,-122.6581478,P801,
REMEDY'SRX #367,"D/C Hospital 1 - 310 - 2268 Pandosy St Kelowna, BC V1Y 1T2 CANADA",(778) 484-3836,(778) 484-3837,,,,49.8643822,-119.4909517,P802,
REMEDY'SRX #369,"102 - 2955 Acland Rd Kelowna, BC V1X 7X2 CANADA",(778) 753-1036,(778) 753-1038,,,,49.9285556,-119.383661,P803,
REVELSTOKE FAMILY PHARMACY,"Alpine Village Shopp Ctr. 555 Victoria Rd PO Box 3000 Revelstoke, BC V0E 2S0 CANADA",(250) 837-5191,(250) 837-5658,,,,51.0013812,-118.1994019,P804,
REXALL #7102,"206 Port Augusta St. Comox, BC V9M 3N1 CANADA",(250) 339-2235,(250) 339-2230,,,,49.6739177,-124.9239447,P805,
REXALL #7103,"1511 Admirals Rd Victoria, BC V9A 2P8 CANADA",(250) 385-1800,(250) 385-1870,,,,48.4494465,-123.4264888,P806,
REXALL #7104,"8925 Granville Street Box 190 Port Hardy, BC V0N 2P0 CANADA",(250) 949-6552,(250) 949-6598,,,,50.719999,-127.497894,P807,
REXALL #7110,"Rm.108 - 1015 Austin Ave. Coquitlam, BC V3K 3N9 CANADA",(604) 937-3122,(604) 937-3143,,,,49.2491809,-122.8667603,P808,
REXALL #7111,"9762 Willow St. Box 99 Chemainus, BC V0R 1K0 CANADA",(250) 246-3821,(250) 246-2579,,,,48.92218,-123.71757,P809,
REXALL #7114,"Unit 1 - 9892 Esplanade St Chemainus, BC V0R 1K1 CANADA",(250) 246-2151,(250) 246-3511,,,,48.9263922,-123.716299,P810,
REXALL #7116,"4204 (4212) Village Sq RR 4 Whistler, BC V8E 1H5 CANADA",(604) 932-4251,(604) 932-6324,,,,50.115302,-122.956166,P811,
REXALL #7121,"912 Douglas St Victoria, BC V8W 2C1 CANADA",(250) 384-1195,(250) 384-8794,,,,48.4235624,-123.3660034,P812,
REXALL #7122,"1801 Princeton-Kamloops Hwy Kamloops, BC V2E 2J7 CANADA",(250) 372-2207,(250) 372-2257,,,,50.6530484,-120.3665112,P813,
REXALL #7123,"103 - 1175 Cook St. Victoria, BC V8V 4A1 CANADA",(250) 388-4481,(250) 388-4084,,,,48.4103983,-123.3571969,P814,
REXALL #7126,"103 - 1646 McKenzie Ave Victoria, BC V8N 0A3 CANADA",(250) 477-2225,(250) 477-2285,,,,48.4692165,-123.3304746,P815,
REXALL #7127,"101 - 230 Cook St Victoria, BC V8V 3X3 CANADA",(250) 386-6171,(250) 386-7659,,,,48.4140992,-123.3571563,P816,
REXALL #7128,"#101 - 1990 Fort St Victoria, BC V8R 6V4 CANADA",(250) 590-8799,(250) 590-8798,,,,48.4324327,-123.3228432,P817,
REXALL #7129,"Victoria Med-Dental Bldg. #120 - 1120 Yates St. Victoria, BC V8V 3M9 CANADA",(250) 385-7701,(250) 385-9672,,,,48.4252438,-123.3524756,P818,
REXALL #7130,"Unit B - 2241 Louie Dr Westbank, BC V4T 3K3 CANADA",(250) 768-1459,(250) 707-7077,,,,49.8367876,-119.6159318,P819,
REXALL #7131,"9025 160 St Surrey, BC V4N 2X7 CANADA",(604) 589-0012,(604) 589-0344,,,,49.1667683,-122.7816024,P820,
REXALL #7133,"#210 - 1595 McKenzie Ave. Victoria, BC V8N 1A4 CANADA",(250) 477-1342,(250) 477-1319,,,,48.4681684,-123.3339788,P821,
REXALL #7136,"4794D Joyce Ave Powell River, BC V8A 3B6 CANADA",(604) 485-2929,(604) 485-2924,,,,49.8454237,-124.5202573,P822,
REXALL #7137,"#107 - 575 16th St West Vancouver, BC V7V 4Y1 CANADA",(604) 922-4174,(604) 913-3159,,,,49.3274617,-123.1588979,P823,
REXALL #7149,"#122 - 1055 Georgia St W Vancouver, BC V6E 3P3 CANADA",(604) 684-8204,(604) 684-7329,,,,49.2853338,-123.1216267,P824,
REXALL #7157,"150 - 17475 56 Ave Surrey, BC V3S 2X6 CANADA",(604) 576-7823,(604) 576-7829,,,,49.1045336,-122.7394014,P825,
REXALL #7159,"6580 Fraser St Vancouver, BC V5X 3T3 CANADA",(604) 235-2115,(604) 235-2118,,,,49.2248653,-123.0904212,P826,
